LPN,Employee Status,Grade,Rank Name,Service Line,Sub Service Line,Region,Country/Region,Event,Event Reason,Exit Date,Start Date,Most Recent Hire Date,Last Promotion Date,Gender,Date of Birth,Marital Status,No of Dependents,Education,Experience_In_Months_x,Companies_Switched_x,Previous Relevant Work Experience (Y/N)_x,Count_Certifications,Experience_In_Months_y,Companies_Switched_y,Previous Relevant Work Experience (Y/N)_y
323928,Terminated,7,Manager,Service Line 1,Sub Service Line 2,Region 3,India,Termination,Separation,2021-04-24 00:00:00.000000,2013-03-18 00:00:00.000000,2019-05-13 00:00:00.000000,,Gender 2,1990-07-05 00:00:00.000000,Status 2,,Master's Degree,,,,,,,
322115,Terminated,7,Manager,Service Line 2,Sub Service Line 5,Region 4,India,Termination,Separation,2021-07-27 00:00:00.000000,2018-02-19 00:00:00.000000,2018-02-19 00:00:00.000000,,Gender 2,1989-03-27 00:00:00.000000,Status 1,,Bachelor's Degree,65.0,1,No,1.0,65.0,1,No
326750,Terminated,7,Manager,Service Line 1,Sub Service Line 1,Region 5,India,Termination,Separation,2021-08-17 00:00:00.000000,2021-03-09 00:00:00.000000,2021-03-09 00:00:00.000000,,Gender 1,1990-09-10 00:00:00.000000,Status 1,,Bachelor's Degree,54.0,3,,,54.0,3,
323270,Terminated,7,Manager,Service Line 1,Sub Service Line 2,Region 2,India,Termination,Separation,2021-08-14 00:00:00.000000,2018-12-17 00:00:00.000000,2018-12-17 00:00:00.000000,,Gender 1,1982-10-07 00:00:00.000000,Status 2,,Bachelor's Degree,15.0,1,No,,15.0,1,No
317414,Terminated,7,Manager,Service Line 3,Sub Service Line 7,Region 3,India,Termination,Separation,2021-11-24 00:00:00.000000,2014-07-07 00:00:00.000000,2014-07-07 00:00:00.000000,2019-10-01 00:00:00.000000,Gender 2,1988-12-03 00:00:00.000000,Status 1,,Master's Degree,,,,1.0,,,
319858,Terminated,7,Manager,Service Line 3,Sub Service Line 6,Region 3,India,Termination,Separation,2022-01-19 00:00:00.000000,2016-04-25 00:00:00.000000,2016-04-25 00:00:00.000000,2019-10-01 00:00:00.000000,Gender 1,1991-05-17 00:00:00.000000,Status 2,,,,,,,,,
2045743,Terminated,7,Manager,Service Line 4,Sub Service Line 9,Region 5,India,Termination,Separation,2021-04-07 00:00:00.000000,2018-11-19 00:00:00.000000,2019-11-11 00:00:00.000000,,Gender 1,1992-03-06 00:00:00.000000,Status 1,,,,,,,,,
326922,Terminated,7,Manager,Service Line 1,Sub Service Line 2,Region 4,India,Termination,Separation,2021-08-11 00:00:00.000000,2021-03-22 00:00:00.000000,2021-03-22 00:00:00.000000,,Gender 1,1971-02-05 00:00:00.000000,Status 2,,Master's Degree,,8,No,1.0,,8,No
322916,Terminated,7,Manager,Service Line 1,Sub Service Line 2,Region 5,India,Termination,Separation,2021-05-08 00:00:00.000000,2018-08-20 00:00:00.000000,2018-08-20 00:00:00.000000,2020-10-01 00:00:00.000000,Gender 1,1988-08-16 00:00:00.000000,Status 1,,Bachelor's Degree,17.0,1,No,,17.0,1,No
318523,Terminated,7,Manager,Service Line 2,Sub Service Line 3,Region 2,India,Termination,Separation,2022-01-01 00:00:00.000000,2015-05-11 00:00:00.000000,2016-07-01 00:00:00.000000,2021-10-01 00:00:00.000000,Gender 1,1992-03-09 00:00:00.000000,Status 1,,Bachelor's Degree,,,,1.0,,,
324119,Terminated,7,Manager,Service Line 5,Sub Service Line 11,Region 5,India,Termination,Separation,2021-10-02 00:00:00.000000,2019-04-22 00:00:00.000000,2019-04-22 00:00:00.000000,2021-10-01 00:00:00.000000,Gender 1,1987-10-20 00:00:00.000000,Status 1,,Bachelor's Degree,49.0,1,Yes,,49.0,1,Yes
315204,Terminated,7,Manager,Service Line 1,Sub Service Line 1,Region 4,India,Termination,Separation,2021-05-26 00:00:00.000000,2012-06-04 00:00:00.000000,2012-06-04 00:00:00.000000,2017-10-01 00:00:00.000000,Gender 1,1984-02-27 00:00:00.000000,Status 1,,,,,,,,,
325178,Terminated,7,Manager,Service Line 5,Sub Service Line 11,Region 4,India,Termination,Separation,2021-10-16 00:00:00.000000,2013-08-26 00:00:00.000000,2020-03-02 00:00:00.000000,,Gender 1,1990-05-04 00:00:00.000000,Status 1,,Bachelor's Degree,6.0,1,No,,6.0,1,No
M67997,Terminated,7,Manager,Service Line 3,Sub Service Line 6,Region 3,India,Termination,Separation,2021-07-17 00:00:00.000000,2021-01-07 00:00:00.000000,2021-01-07 00:00:00.000000,,Gender 1,1988-12-21 00:00:00.000000,Status 1,3.0,,,,,,,,
325557,Terminated,7,Manager,Service Line 5,Sub Service Line 10,Region 3,India,Termination,Separation,2021-07-28 00:00:00.000000,2020-03-02 00:00:00.000000,2020-03-02 00:00:00.000000,,Gender 1,1992-07-29 00:00:00.000000,Status 1,,Master's Degree,,,,,,,
323645,Terminated,7,Manager,Service Line 5,Sub Service Line 10,Region 1,India,Termination,Separation,2021-03-27 00:00:00.000000,2019-03-18 00:00:00.000000,2019-03-18 00:00:00.000000,,Gender 1,1987-02-04 00:00:00.000000,Status 1,,,59.0,1,No,,59.0,1,No
324792,Terminated,7,Manager,Service Line 4,Sub Service Line 9,Region 4,India,Termination,Separation,2021-10-16 00:00:00.000000,2016-09-06 00:00:00.000000,2019-09-16 00:00:00.000000,2021-10-01 00:00:00.000000,Gender 1,1994-01-15 00:00:00.000000,Status 1,,Bachelor's Degree,22.0,4,Yes,,22.0,4,Yes
323912,Terminated,7,Manager,Service Line 5,Sub Service Line 11,Region 5,India,Termination,Separation,2021-07-24 00:00:00.000000,2019-05-13 00:00:00.000000,2019-05-13 00:00:00.000000,,Gender 1,1981-09-17 00:00:00.000000,Status 2,,Bachelor's Degree,22.0,1,No,,22.0,1,No
320993,Terminated,7,Manager,Service Line 3,Sub Service Line 6,Region 1,India,Termination,Separation,2021-12-04 00:00:00.000000,2014-09-15 00:00:00.000000,2017-04-17 00:00:00.000000,2019-10-01 00:00:00.000000,Gender 1,1990-04-18 00:00:00.000000,Status 1,,Bachelor's Degree,21.0,1,No,,21.0,1,No
314180,Terminated,7,Manager,Service Line 2,Sub Service Line 3,Region 3,India,Termination,Separation,2021-08-28 00:00:00.000000,2011-06-27 00:00:00.000000,2011-06-27 00:00:00.000000,2017-10-01 00:00:00.000000,Gender 1,1988-02-17 00:00:00.000000,Status 1,,Bachelor's Degree,,,,1.0,,,
323325,Terminated,7,Manager,Service Line 1,Sub Service Line 2,Region 3,India,Termination,Separation,2021-10-09 00:00:00.000000,2019-01-02 00:00:00.000000,2019-01-02 00:00:00.000000,,Gender 1,1986-10-01 00:00:00.000000,Status 2,,Bachelor's Degree,20.0,1,No,,20.0,1,No
322183,Terminated,7,Manager,Service Line 1,Sub Service Line 1,Region 2,India,Termination,Separation,2022-02-10 00:00:00.000000,2018-03-26 00:00:00.000000,2018-03-26 00:00:00.000000,2021-10-01 00:00:00.000000,Gender 1,1991-04-02 00:00:00.000000,Status 1,,Bachelor's Degree,63.0,4,Yes,,63.0,4,Yes
314999,Terminated,7,Manager,Service Line 3,Sub Service Line 7,Region 2,India,Termination,Separation,2022-01-28 00:00:00.000000,2012-03-26 00:00:00.000000,2016-07-04 00:00:00.000000,2021-10-01 00:00:00.000000,Gender 2,1992-11-12 00:00:00.000000,Status 2,,Bachelor's Degree,,,,1.0,,,
326942,Terminated,7,Manager,Service Line 2,Sub Service Line 4,Region 2,India,Termination,Separation,2021-04-21 00:00:00.000000,2021-03-15 00:00:00.000000,2021-03-15 00:00:00.000000,,Gender 1,1977-01-31 00:00:00.000000,Status 3,,Master's Degree,33.0,2,,,33.0,2,
325360,Terminated,7,Manager,Service Line 4,Sub Service Line 9,Region 3,India,Termination,Separation,2021-11-06 00:00:00.000000,2020-01-06 00:00:00.000000,2020-01-06 00:00:00.000000,2021-03-01 00:00:00.000000,Gender 1,1990-02-23 00:00:00.000000,Status 2,,Bachelor's Degree,,,,,,,
321141,Terminated,7,Manager,Service Line 4,Sub Service Line 8,Region 5,India,Termination,Separation,2021-04-08 00:00:00.000000,2012-06-04 00:00:00.000000,2017-06-05 00:00:00.000000,2020-10-01 00:00:00.000000,Gender 2,1992-04-02 00:00:00.000000,Status 1,,,,,,,,,
321796,Terminated,7,Manager,Service Line 4,Sub Service Line 9,Region 4,India,Termination,Separation,2021-06-26 00:00:00.000000,2017-09-25 00:00:00.000000,2017-09-25 00:00:00.000000,2020-10-01 00:00:00.000000,Gender 2,1991-11-02 00:00:00.000000,Status 1,,,19.0,2,Yes,,19.0,2,Yes
327258,Terminated,7,Manager,Service Line 5,Sub Service Line 11,Region 2,India,Termination,Separation,2021-10-09 00:00:00.000000,2021-04-21 00:00:00.000000,2021-04-21 00:00:00.000000,,Gender 1,1971-09-24 00:00:00.000000,Status 2,,Bachelor's Degree,96.0,4,,,96.0,4,
322926,Terminated,7,Manager,Service Line 5,Sub Service Line 10,Region 2,India,Termination,Separation,2021-07-24 00:00:00.000000,2018-09-10 00:00:00.000000,2018-09-10 00:00:00.000000,,Gender 1,1983-11-03 00:00:00.000000,Status 2,,Associate's Degree,34.0,1,Yes,,34.0,1,Yes
322045,Terminated,7,Manager,Service Line 4,Sub Service Line 8,Region 5,India,Termination,Separation,2021-08-07 00:00:00.000000,2017-03-20 00:00:00.000000,2018-01-03 00:00:00.000000,2019-10-01 00:00:00.000000,Gender 1,1989-05-29 00:00:00.000000,Status 2,2.0,Bachelor's Degree,58.0,2,Yes,3.0,58.0,2,Yes
327359,Terminated,7,Manager,Service Line 4,Sub Service Line 9,Region 2,India,Termination,Separation,2021-12-31 00:00:00.000000,2021-06-28 00:00:00.000000,2021-06-28 00:00:00.000000,,Gender 1,1988-05-25 00:00:00.000000,Status 2,,Bachelor's Degree,,1,,1.0,,1,
324737,Terminated,7,Manager,Service Line 5,Sub Service Line 10,Region 5,India,Termination,Separation,2021-11-20 00:00:00.000000,2018-08-28 00:00:00.000000,2020-11-02 00:00:00.000000,,Gender 1,1986-08-29 00:00:00.000000,Status 2,,Master's Degree,114.0,1,No,,114.0,1,No
322231,Terminated,7,Manager,Service Line 5,Sub Service Line 10,Region 3,India,Termination,Separation,2021-07-03 00:00:00.000000,2015-05-04 00:00:00.000000,2018-03-05 00:00:00.000000,2020-10-01 00:00:00.000000,Gender 2,1989-02-06 00:00:00.000000,Status 2,,Master's Degree,15.0,1,No,,15.0,1,No
320102,Terminated,7,Manager,Service Line 3,Sub Service Line 7,Region 1,India,Termination,Separation,2021-05-07 00:00:00.000000,2021-03-01 00:00:00.000000,2021-03-01 00:00:00.000000,,Gender 1,1986-12-29 00:00:00.000000,Status 1,,Bachelor's Degree,103.0,4,,,103.0,4,
325667,Terminated,7,Manager,Service Line 2,Sub Service Line 4,Region 4,India,Termination,Separation,2021-12-04 00:00:00.000000,2020-07-06 00:00:00.000000,2020-07-06 00:00:00.000000,,Gender 1,1989-12-06 00:00:00.000000,Status 1,,Bachelor's Degree,,,,2.0,,,
324339,Terminated,7,Manager,Service Line 5,Sub Service Line 10,Region 3,India,Termination,Separation,2021-08-28 00:00:00.000000,2019-07-22 00:00:00.000000,2019-07-22 00:00:00.000000,,Gender 1,1984-06-21 00:00:00.000000,Status 2,,Master's Degree,67.0,1,No,,67.0,1,No
323441,Terminated,7,Manager,Service Line 1,Sub Service Line 2,Region 1,India,Termination,Separation,2021-08-21 00:00:00.000000,2018-11-14 00:00:00.000000,2018-11-14 00:00:00.000000,,Gender 1,1991-08-30 00:00:00.000000,Status 1,,,,,,,,,
324574,Terminated,7,Manager,Service Line 2,Sub Service Line 5,Region 4,India,Termination,Separation,2021-09-28 00:00:00.000000,2019-08-05 00:00:00.000000,2019-08-05 00:00:00.000000,,Gender 2,1986-11-04 00:00:00.000000,Status 1,,Bachelor's Degree,12.0,1,No,,12.0,1,No
322307,Terminated,7,Manager,Service Line 2,Sub Service Line 5,Region 1,India,Termination,Separation,2021-12-01 00:00:00.000000,2018-03-19 00:00:00.000000,2018-03-19 00:00:00.000000,2020-10-01 00:00:00.000000,Gender 2,1992-11-16 00:00:00.000000,Status 1,,Bachelor's Degree,27.0,1,No,,27.0,1,No
317492,Terminated,7,Manager,Service Line 5,Sub Service Line 10,Region 1,India,Termination,Separation,2021-08-28 00:00:00.000000,2014-08-11 00:00:00.000000,2014-08-11 00:00:00.000000,2018-10-01 00:00:00.000000,Gender 2,1991-09-30 00:00:00.000000,Status 1,,Bachelor's Degree,,,,,,,
325355,Terminated,7,Manager,Service Line 3,Sub Service Line 7,Region 2,India,Termination,Separation,2021-12-14 00:00:00.000000,2020-01-02 00:00:00.000000,2020-01-02 00:00:00.000000,,Gender 1,1988-03-20 00:00:00.000000,Status 1,,Bachelor's Degree,17.0,1,No,,17.0,1,No
324618,Terminated,7,Manager,Service Line 2,Sub Service Line 4,Region 4,India,Termination,Separation,2021-10-27 00:00:00.000000,2019-09-30 00:00:00.000000,2019-09-30 00:00:00.000000,2021-10-01 00:00:00.000000,Gender 2,1988-01-08 00:00:00.000000,Status 2,,Bachelor's Degree,,,,,,,
320386,Terminated,7,Manager,Service Line 2,Sub Service Line 4,Region 3,India,Termination,Separation,2022-02-12 00:00:00.000000,2016-08-01 00:00:00.000000,2016-08-01 00:00:00.000000,2020-10-01 00:00:00.000000,Gender 2,1988-02-09 00:00:00.000000,Status 1,,Master's Degree,5.0,1,Yes,,5.0,1,Yes
324940,Terminated,7,Manager,Service Line 1,Sub Service Line 1,Region 1,India,Termination,Separation,2022-01-07 00:00:00.000000,2020-01-06 00:00:00.000000,2020-01-06 00:00:00.000000,,Gender 1,1985-08-04 00:00:00.000000,Status 1,,Bachelor's Degree,59.0,2,Yes,,59.0,2,Yes
323017,Terminated,7,Manager,Service Line 2,Sub Service Line 4,Region 2,India,Termination,Separation,2021-03-13 00:00:00.000000,2018-10-29 00:00:00.000000,2018-10-29 00:00:00.000000,,Gender 1,1982-10-16 00:00:00.000000,Status 2,,Bachelor's Degree,141.0,1,Yes,,141.0,1,Yes
324100,Terminated,7,Manager,Service Line 1,Sub Service Line 2,Region 4,India,Termination,Separation,2021-11-27 00:00:00.000000,2019-04-10 00:00:00.000000,2019-04-10 00:00:00.000000,2021-10-01 00:00:00.000000,Gender 1,1988-05-31 00:00:00.000000,Status 1,,Bachelor's Degree,,,,,,,
325026,Terminated,7,Manager,Service Line 5,Sub Service Line 11,Region 5,India,Termination,Separation,2021-10-09 00:00:00.000000,2019-11-18 00:00:00.000000,2019-11-18 00:00:00.000000,,Gender 1,1975-06-11 00:00:00.000000,Status 2,,Bachelor's Degree,5.0,1,No,,5.0,1,No
314537,Terminated,7,Manager,Service Line 5,Sub Service Line 10,Region 5,India,Termination,Separation,2021-09-22 00:00:00.000000,2011-11-01 00:00:00.000000,2011-11-01 00:00:00.000000,2016-10-01 00:00:00.000000,Gender 1,1986-03-23 00:00:00.000000,Status 2,,Bachelor's Degree,,,,,,,
324633,Terminated,7,Manager,Service Line 2,Sub Service Line 4,Region 3,India,Termination,Separation,2021-04-02 00:00:00.000000,2019-09-16 00:00:00.000000,2019-09-16 00:00:00.000000,,Gender 1,1982-12-15 00:00:00.000000,Status 1,,Bachelor's Degree,155.0,4,Yes,1.0,155.0,4,Yes
315224,Terminated,7,Manager,Service Line 2,Sub Service Line 4,Region 3,India,Termination,Separation,2021-06-05 00:00:00.000000,2012-06-11 00:00:00.000000,2014-07-07 00:00:00.000000,2019-10-01 00:00:00.000000,Gender 2,1990-02-08 00:00:00.000000,Status 1,,,,,,1.0,,,
321952,Terminated,7,Manager,Service Line 1,Sub Service Line 2,Region 3,India,Termination,Separation,2021-07-14 00:00:00.000000,2018-01-02 00:00:00.000000,2018-01-02 00:00:00.000000,2019-10-01 00:00:00.000000,Gender 1,1983-06-19 00:00:00.000000,Status 2,,,,,,,,,
326974,Terminated,7,Manager,Service Line 2,Sub Service Line 4,Region 1,India,Termination,Separation,2021-10-01 00:00:00.000000,2021-04-05 00:00:00.000000,2021-04-05 00:00:00.000000,,Gender 1,1979-09-13 00:00:00.000000,Status 2,1.0,Bachelor's Degree,224.0,8,Yes,1.0,224.0,8,Yes
322037,Terminated,7,Manager,Service Line 5,Sub Service Line 10,Region 5,India,Termination,Separation,2021-07-10 00:00:00.000000,2018-02-05 00:00:00.000000,2018-02-05 00:00:00.000000,2020-10-01 00:00:00.000000,Gender 1,1987-10-19 00:00:00.000000,Status 2,,,57.0,2,Yes,2.0,57.0,2,Yes
319149,Terminated,7,Manager,Service Line 3,Sub Service Line 6,Region 5,India,Termination,Separation,2021-07-10 00:00:00.000000,2015-09-09 00:00:00.000000,2015-09-09 00:00:00.000000,2019-10-01 00:00:00.000000,Gender 2,1992-07-01 00:00:00.000000,Status 1,,,41.0,3,Yes,,41.0,3,Yes
325434,Terminated,7,Manager,Service Line 1,Sub Service Line 1,Region 2,India,Termination,Separation,2021-07-17 00:00:00.000000,2013-08-19 00:00:00.000000,2020-01-28 00:00:00.000000,2020-10-01 00:00:00.000000,Gender 1,1990-10-11 00:00:00.000000,Status 1,,Bachelor's Degree,24.0,3,Yes,,24.0,3,Yes
323577,Terminated,7,Manager,Service Line 1,Sub Service Line 1,Region 5,India,Termination,Separation,2021-10-09 00:00:00.000000,2019-01-07 00:00:00.000000,2019-01-07 00:00:00.000000,,Gender 1,1974-07-26 00:00:00.000000,Status 2,,Master's Degree,15.0,1,Yes,,15.0,1,Yes
319000,Terminated,7,Manager,Service Line 5,Sub Service Line 11,Region 2,India,Termination,Separation,2021-03-20 00:00:00.000000,2015-07-29 00:00:00.000000,2021-02-15 00:00:00.000000,2020-10-01 00:00:00.000000,Gender 1,1990-02-06 00:00:00.000000,Status 1,,,,,,,,,
316138,Terminated,7,Manager,Service Line 2,Sub Service Line 3,Region 5,India,Termination,Separation,2021-12-24 00:00:00.000000,2013-04-24 00:00:00.000000,2016-06-06 00:00:00.000000,2021-10-01 00:00:00.000000,Gender 2,1990-11-29 00:00:00.000000,Status 1,,Technical Diploma,,,,,,,
318750,Terminated,7,Manager,Service Line 1,Sub Service Line 2,Region 1,India,Termination,Separation,2021-11-27 00:00:00.000000,2015-07-06 00:00:00.000000,2015-07-06 00:00:00.000000,2018-10-01 00:00:00.000000,Gender 2,1987-07-21 00:00:00.000000,Status 2,,,,,,2.0,,,
316797,Terminated,7,Manager,Service Line 5,Sub Service Line 10,Region 3,India,Termination,Separation,2022-01-15 00:00:00.000000,2013-12-02 00:00:00.000000,2018-07-02 00:00:00.000000,,Gender 2,1991-04-10 00:00:00.000000,Status 1,,Technical Diploma,,,,,,,
322722,Terminated,7,Manager,Service Line 3,Sub Service Line 7,Region 2,India,Termination,Separation,2021-05-22 00:00:00.000000,2018-07-30 00:00:00.000000,2020-12-15 00:00:00.000000,,Gender 1,1980-02-19 00:00:00.000000,Status 2,,Doctorate's Degree,30.0,1,No,,30.0,1,No
318450,Terminated,7,Manager,Service Line 2,Sub Service Line 5,Region 4,India,Termination,Separation,2021-11-27 00:00:00.000000,2015-05-04 00:00:00.000000,2015-05-04 00:00:00.000000,2017-10-01 00:00:00.000000,Gender 1,1984-12-12 00:00:00.000000,Status 2,,Bachelor's Degree,131.0,2,Yes,,131.0,2,Yes
324172,Terminated,7,Manager,Service Line 4,Sub Service Line 8,Region 5,India,Termination,Separation,2021-04-09 00:00:00.000000,2015-08-01 00:00:00.000000,2019-06-03 00:00:00.000000,2020-10-01 00:00:00.000000,Gender 2,1993-06-14 00:00:00.000000,Status 1,,Bachelor's Degree,42.0,1,No,,42.0,1,No
324302,Terminated,7,Manager,Service Line 1,Sub Service Line 2,Region 2,India,Termination,Separation,2022-01-18 00:00:00.000000,2019-06-17 00:00:00.000000,2019-06-17 00:00:00.000000,,Gender 1,1985-07-29 00:00:00.000000,Status 2,,Bachelor's Degree,64.0,3,,1.0,64.0,3,
325632,Terminated,7,Manager,Service Line 3,Sub Service Line 6,Region 5,India,Termination,Separation,2022-01-25 00:00:00.000000,2020-06-02 00:00:00.000000,2020-06-02 00:00:00.000000,2021-10-01 00:00:00.000000,Gender 2,1990-04-09 00:00:00.000000,Status 1,,Bachelor's Degree,10.0,1,No,,10.0,1,No
316863,Terminated,7,Manager,Service Line 3,Sub Service Line 6,Region 2,India,Termination,Separation,2022-03-19 00:00:00.000000,2013-12-16 00:00:00.000000,2019-10-21 00:00:00.000000,2020-10-01 00:00:00.000000,Gender 2,1993-03-30 00:00:00.000000,Status 1,,Bachelor's Degree,16.0,1,No,,16.0,1,No
323647,Terminated,7,Manager,Service Line 2,Sub Service Line 3,Region 1,India,Termination,Separation,2022-01-01 00:00:00.000000,2019-02-18 00:00:00.000000,2019-02-18 00:00:00.000000,2021-10-01 00:00:00.000000,Gender 1,1990-01-27 00:00:00.000000,Status 1,,Master's Degree,,,,,,,
320049,Terminated,7,Manager,Service Line 2,Sub Service Line 4,Region 1,India,Termination,Separation,2021-12-04 00:00:00.000000,2016-06-13 00:00:00.000000,2016-06-13 00:00:00.000000,2021-10-01 00:00:00.000000,Gender 2,1993-09-02 00:00:00.000000,Status 1,,Bachelor's Degree,,,,,,,
322339,Terminated,7,Manager,Service Line 3,Sub Service Line 6,Region 2,India,Termination,Separation,2022-02-01 00:00:00.000000,2018-03-05 00:00:00.000000,2018-03-05 00:00:00.000000,,Gender 2,1979-12-19 00:00:00.000000,Status 1,,Bachelor's Degree,167.0,5,Yes,,167.0,5,Yes
318731,Terminated,7,Manager,Service Line 3,Sub Service Line 6,Region 5,India,Termination,Separation,2022-02-16 00:00:00.000000,2015-06-10 00:00:00.000000,2016-07-18 00:00:00.000000,2021-10-01 00:00:00.000000,Gender 2,1994-04-25 00:00:00.000000,Status 1,,,,,,,,,
327680,Terminated,7,Manager,Service Line 2,Sub Service Line 5,Region 1,India,Termination,Separation,2021-12-11 00:00:00.000000,2021-08-05 00:00:00.000000,2021-08-05 00:00:00.000000,,Gender 1,1984-05-03 00:00:00.000000,Status 2,,Master's Degree,,7,Yes,,,7,Yes
319318,Terminated,7,Manager,Service Line 4,Sub Service Line 8,Region 1,India,Termination,Separation,2022-01-01 00:00:00.000000,2015-12-07 00:00:00.000000,2017-01-16 00:00:00.000000,2021-10-01 00:00:00.000000,Gender 2,1994-01-21 00:00:00.000000,Status 1,,,,,,,,,
319302,Terminated,7,Manager,Service Line 5,Sub Service Line 11,Region 3,India,Termination,Separation,2022-01-04 00:00:00.000000,2009-03-16 00:00:00.000000,2019-07-22 00:00:00.000000,,Gender 2,1987-09-24 00:00:00.000000,Status 1,,Bachelor's Degree,39.0,1,No,,39.0,1,No
324329,Terminated,7,Manager,Service Line 5,Sub Service Line 11,Region 2,India,Termination,Separation,2022-03-18 00:00:00.000000,2015-05-05 00:00:00.000000,2019-06-24 00:00:00.000000,2021-10-01 00:00:00.000000,Gender 2,1993-03-11 00:00:00.000000,Status 1,,Bachelor's Degree,48.0,1,No,,48.0,1,No
328236,Terminated,7,Manager,Service Line 2,Sub Service Line 5,Region 5,India,Termination,Separation,2022-01-29 00:00:00.000000,2021-09-20 00:00:00.000000,2021-09-20 00:00:00.000000,,Gender 1,1985-08-05 00:00:00.000000,Status 2,,Master's Degree,,1,,,,1,
316524,Terminated,7,Manager,Service Line 2,Sub Service Line 4,Region 4,India,Termination,Separation,2022-03-24 00:00:00.000000,2013-08-26 00:00:00.000000,2016-08-15 00:00:00.000000,2019-10-01 00:00:00.000000,Gender 1,1987-12-16 00:00:00.000000,Status 2,,Master's Degree,35.0,3,Yes,2.0,35.0,3,Yes
326695,Terminated,7,Manager,Service Line 2,Sub Service Line 3,Region 5,India,Termination,Separation,2021-05-07 00:00:00.000000,2021-02-08 00:00:00.000000,2021-02-08 00:00:00.000000,,Gender 2,1986-02-19 00:00:00.000000,Status 2,,Master's Degree,,1,,,,1,
320431,Terminated,7,Manager,Service Line 5,Sub Service Line 10,Region 5,India,Termination,Separation,2021-12-01 00:00:00.000000,2016-08-29 00:00:00.000000,2016-08-29 00:00:00.000000,2018-10-01 00:00:00.000000,Gender 2,1988-03-05 00:00:00.000000,Status 2,,Doctorate's Degree,11.0,2,Yes,,11.0,2,Yes
322293,Terminated,7,Manager,Service Line 4,Sub Service Line 8,Region 4,India,Termination,Separation,2021-05-08 00:00:00.000000,2018-06-04 00:00:00.000000,2018-06-04 00:00:00.000000,,Gender 2,1978-02-27 00:00:00.000000,Status 2,,Master's Degree,178.0,3,No,,178.0,3,No
443815,Terminated,7,Manager,Service Line 2,Sub Service Line 5,Region 4,India,Termination,Separation,2022-01-22 00:00:00.000000,2017-09-18 00:00:00.000000,2020-12-07 00:00:00.000000,,Gender 1,1989-06-14 00:00:00.000000,Status 1,4.0,,,,,,,,
5974743,Terminated,7,Manager,Service Line 2,Sub Service Line 5,Region 4,India,Termination,Separation,2022-03-18 00:00:00.000000,2014-08-25 00:00:00.000000,2018-09-03 00:00:00.000000,2020-10-01 00:00:00.000000,Gender 1,1988-09-10 00:00:00.000000,Status 1,,,,,,,,,
